ABANDONO 20 AÑOS,1
ABETO,2
ACELGA,3
ACEROLO,4
ACHICORIA,5
ADORMIDERA,6
AGRIMONIA,7
AJEDREA,8
AJENJO,9
AJO,10
ALBARICOQUERO,11
ALBERJÓN,12
ALCACHOFA,13
ALCORNOQUE,14
ALFALFA,15
ALFORFÓN,16
ALGARROBA,17
ALHOLVA,18
ALMENDRO,19
ALMENDRO-OLIVAR,20
ALMORTA,21
ALPISTE,22
ALTRAMUZ,23
ALTRAMUZ AMARILLO,24
ALTRAMUZ AZUL,25
ALTRAMUZ BLANCO,26
ALTRAMUZ DULCE,27
ALUBIA,28
ALVERJA,29
ALVERJA HÚNGARA,30
AMARANTO,31
ANIS DULCE,32
ANÍS DULCE,33
ANÍS ESTRELLADO,34
APIO,35
ARBOLES DE NAVIDAD,36
ARGÁN,37
ARRHENATHERUM,38
ARROZ,39
ARÁNDANO,40
AVELLANO,41
AVENA,42
AZAFRAN,43
BARBECHO CON ESPECIES MELÍFERAS,44
BARBECHO DE BIODIVERSIDAD (INCLUYE MELÍFERAS),45
BARBECHO MEDIOAMBIENTAL,46
BARBECHO MEDIOAMBIENTAL ABANDONO 5 AÑOS,47
BARBECHO SEMILLADO,48
BARBECHO SIN PRODUCCION,49
BARBECHO TRADICIONAL,50
BARDANA,51
BERENJENA,52
BERZA,53
BONIATO,54
BORRAJA,55
BROCOLINI,56
BRÓCOLI,57
CABECERA DE CULTIVO PERMANENTE,58
CALABACÍN,59
CALABAZA,60
CALABAZA DEL PEREGRINO,61
CALENDULA,62
CAMELINA,63
CAQUI o PALOSANTO,64
CARDO,65
CASTAÑO,66
CASTAÑO (FORESTAL),67
CAUPÍ,68
CEBADA,69
CEBOLLA,70
CEBOLLETA,71
CEBOLLINO,72
CENTENO,73
CEREZO,74
CHIRIVÍA,75
CHOPO,76
CHUFA,77
CILANTRO,78
CIRUELO,79
COL,80
COL CHINA,81
COL CRESPA,82
COL DE BRUSELAS,83
COL MILÁN,84
COL ROJA O LOMBARDA,85
COLIFLOR,86
COLIRRÁBANO,87
COLZA,88
CROTALARIA JUNCEA,89
CULTIVOS MIXTOS DE ESPECIES PRATENSES,90
CÁRTAMO,91
CÁÑAMO,92
DACTILO,93
DIENTE DE LEÓN,94
ENCINA,95
ENDIVIA,96
ENDRINO,97
ENEBRO,98
ENELDO,99
EQUINACEA,100
ESCANDA,101
ESCAROLA,102
ESPARCETA,103
ESPECIES AROMATICAS HERBACEAS,104
ESPECIES AROMÁTICAS HERBÁCEAS,105
ESPELTA,106
ESPINACA,107
ESPINACA DEL MALABAR,108
ESPLIEGO,109
ESPÁRRAGO,110
EUCALIPTO,111
EUCALYPTUS,112
FESTUCA,113
FLORES,114
FORESTACIONES VINCULADAS AL REGLAMENTO 1257/1999,115
FORESTACIONES VINCULADAS AL REGLAMENTO 1698/2005,116
FORESTACIONES VINCULADAS AL REGLAMENTO Nº 1305/2013,117
FORESTACIONES VINCULADAS AL REGLAMENTO Nº 2080/1992,118
FRAMBUESA,119
FRESA,120
FRESNO,121
FRUTOS DE CÁSCARA,122
FRUTOS DEL BOSQUE,123
GARBANZO,124
GINSENG,125
GIRASOL,126
GRANADO,127
GRELOS,128
GROSELLA,129
GROSELLA NEGRA,130
GROSELLERO,131
GUINDILLA,132
GUISANTE,133
HABA,134
HABONCILLO,135
HECTAREAS DE AGROSILVICULTURA DEL REGLAMENTO Nº 1698/2005 Y/O DEL REGLAMENTO Nº 1305/2013,136
HELICRISO,137
HIERBA CINTA,138
HIERBA DE GUINEA,139
HIERBABUENA,140
HIGUERA,141
HINOJO,142
HIPÉRICO,143
HISOPO,144
HUERTA,145
IMPRODUCTIVO,146
JUDÍA,147
JUDÍA ESCARLATA,148
KALE,149
KALE O COL RIZADA,150
KIWI,151
LAVANDA,152
LAVANDÍN,153
LECHUGA,154
LENTEJA,155
LINO,156
LINO NO TEXTIL,157
LINO TEXTIL PARA FIBRA,158
LLANTÉN,159
LÚPULO,160
MALVAVISCO,161
MANDARINO HÍBRIDO,162
MANZANILLA,163
MANZANILLA AMARGA,164
MANZANILLA DULCE,165
MANZANO,166
MAÍZ,167
MAÍZ DULCE,168
MELISA O TORONJIL,169
MELOCOTONERO,170
MELÓN,171
MEMBRILLO,172
MENTA,173
MEZCLA ALGARROBA-AVENA,174
MEZCLA ALGARROBA-CEBADA,175
MEZCLA ALGARROBAS - CEBADA,176
MEZCLA AVENA-CEBADA,177
MEZCLA AVENA-CEBADA-VEZA,178
MEZCLA AVENA-CENTENO,179
MEZCLA AVENA-GUISANTE,180
MEZCLA AVENA-HABA,181
MEZCLA AVENA-MAÍZ,182
MEZCLA AVENA-TRIGO,183
MEZCLA AVENA-TRITICALE,184
MEZCLA AVENA-VEZA,185
MEZCLA AVENA-YEROS,186
MEZCLA AVENA-ZULLA,187
MEZCLA CEBADA-GUISANTE,188
MEZCLA CEBADA-TRIGO,189
MEZCLA CEBADA-VEZA,190
MEZCLA CEBADA-YEROS,191
MEZCLA CEBADA-ZULLA,192
MEZCLA CENTENO-TRIGO,193
MEZCLA CEREAL-RAYGRASS,194
MEZCLA DE FORESTALES,195
MEZCLA EN MARGENES MULTIFUNCIONALES,196
MEZCLA GUISANTE-AVENA,197
MEZCLA GUISANTE-CEBADA,198
MEZCLA HABA-VEZA,199
MEZCLA MAÍZ-SORGO,200
MEZCLA RAYGRASS-TRÉBOL,201
MEZCLA RAYGRASS-VEZA,202
MEZCLA TRIGO-VEZA,203
MEZCLA TRITICALE-VEZA,204
MEZCLA VEZA - AVENA - CEBADA,205
MEZCLA VEZA - RAYGRASS,206
MEZCLA VEZA-CEBADA,207
MEZCLA VEZA-TRIGO,208
MEZCLA YEROS - AVENA,209
MEZCLA YEROS - CEBADA,210
MEZCLA ZULLA - AVENA,211
MIJO,212
MILENRAMA,213
MIMBRERA,214
MOSTAZA,215
NABO,216
NARANJO,217
NECTARINO,218
NOGAL,219
OLIVAR - FRUTAL,220
OLIVO,221
OLMO,222
ORÉGANO,223
OTRAS MEZCLAS CON PREDOMINANCIA CFN,224
OTRAS SUPERFICIES FORESTALES,225
OTRAS UTILIZACIONES NO AGRARIAS NI FORESTALES,226
OTROS FRUTALES,227
PANIZO,228
PARAGUAYO,229
PASTIZAL DE 5 O MAS AÑOS,230
PASTO ARBOLADO DE 5 O MAS AÑOS,231
PASTO ARBUSTIVO DE 5 O MAS AÑOS,232
PASTO DE SUDÁN,233
PASTO DEL SUDÁN,234
PASTOS DE MENOS DE 5 AÑOS,235
PASTOS PERMANENTES DE 5 O MÁS AÑOS,236
PATATA,237
PAULONIA,238
PEPINILLOS,239
PEPINO,240
PERAL,241
PEREJIL,242
PIMIENTO,243
PIMIENTO PARA PIMENTÓN,244
PINO,245
PINOS PIÑONEROS,246
PISTACHO,247
PLANTAS ORNAMENTALES,248
PLANTÓN DE REMOLACHA,249
POA,250
POLEO,251
PUERRO,252
QUEJIGO,253
QUINOA,254
RAYGRAS,255
RAYGRAS ANUAL (LOLIUM MULTIFLORUM LAM. AND HYBRIDS),256
RAYGRAS ANUAL (Lolium multiflorum LAM. And hybrids),257
RAYGRASS ANUAL,258
RAYGRASS PERENNE,259
REGALIZ,260
REMOLACHA,261
REMOLACHA DE MESA,262
REMOLACHA FORRAJERA,263
REPOLLO,264
RESTO DE PINOS (NO PIÑONEROS),265
ROBLE,266
ROMANESCU,267
ROMERO,268
ROMPEPIEDRA,269
RÁBANO,270
SABINA,271
SALIX,272
SALVIA,273
SANDÍA,274
SAUCE,275
SETAS,276
SOJA,277
SORGO,278
SUPERFICIES FORESTALES DE ROTACION CORTA,279
SUPERFICIES FORESTALES MADERABLES,280
SUPERFICIES VINCULADAS A LA DIRECTIVA 92/43/CEE,281
TABACO,282
TEFF,283
TITARRO,284
TOMATE,285
TOMATE PARA TRANSFORMACIÓN,286
TOMILLO,287
TRANQUILLÓN,288
TRAVALERA,289
TRIGO BLANDO,290
TRIGO DURO,291
TRIGO KHORASAN,292
TRITICALE,293
TRITICUM SPELTA,294
TRITORDEUM,295
TRUFA,296
TRÉBOL,297
UVA DE MESA,298
UVA PASA,299
VALERIANA,300
VARA DE ORO,301
VEZA,302
VEZA VELLOSA,303
VIVERO,304
VIÑA,305
VIÑA - FRUTAL,306
VIÑA - OLIVAR,307
VIÑA-HUERTA,308
VIÑA-OLIVAR,309
YEROS,310
ZANAHORIA,311
ZARZAMORA,312
ZARZAMORA (RUBUS L.),313
